gtin,descp,ncm,preco
03614612755523,ORGANIZADOR ARMARIO,63079010,15.989999999999998
07898315733033,DESINF HIPER PLUS LAVANDA 500ML,38089419,19.968
07896189225326,AROMAT.PROAUTO,33074900,3.5148648648648653
07500435127363,CR DENT ORAL B KIDS MICKEY 50G,33061000,6.93
07891035215339,LIMP VEJA PERF SONHO FLORES 1L,34022000,5.07
07896235319665,GEL FIX NY LOOKS MEDIA 240G,33059000,4.804285714285714
07896321008862,BALA MILKEN 54G CARA,18069000,2.692
07898301962010,PEDRA SANIT HIPER PLUS EUCALIPTO 30,34022000,1.9196153846153845
07896029069196,PEDIGREE 1KG RACAS P,23099010,14.346571428571428
07891150054585,AMAC CONC COMFORT OR,38099190,10.49
07506309841823,CR PENT PANTENE RESTAURACAO 240G,33059000,15.29
07897270400462,SABAO REGENTE BARRA 1 KG BLUE UN,34011900,5.92
07891172422379,P HIG NEVE COMPACTO,48181000,17.614545454545453
03000094993186,CAPUCCINO ALPINO NES,21011190,3.404845360824742
07891000089873,COMP ALIM NUTREN KIDS MOR 350G,21069030,26.04
07891176111088,COND NEUTROX 1 500ML FR,33059000,6.8
07896013100638,ALCOOL GEL BRILUX 50,22072019,8.68757142857143
07898623955011,CP SALON LINE 300ML,33059000,10.68090909090909
07891149106486,CER BRA RED EX 355ML,22030000,12.215
07896509966151,ESM BEAUTY CINT ELIXIR C6(BTY),33043000,2.03
07898014940268,ASAS PATO CONG.VILLA GERMANIA,02074500,13.99
07898016110232,LEITE COND TRADICAO TP 395G,04029900,6.413571428571429
07896005217771,BISC ORIGINAL SAL SOL 150G,19059020,2.49
07891268400113,ANTI SEPTICO LISTERI,33061000,15.06509090909091
07896005800683,CAFE SOLUVEL 3 CORACOES REFIL 50G,21011190,6.975
07891150023222,SAB.LIQ.LIFEBUOY REFIL TOTAL ANTIBAC.,34013000,5.989999999999999
07899674286048,SAND.DUP.PETIT VERDE/PRETO 29/0 1435,64022000,11.617142857142856
07891182020305,ESM RISQUE EFEITO MET ROSE CVIDA 8,33043000,3.4536363636363636
07896547900087,ERVA DOCE CAMPIL 10G,09096110,1.95
07891010560737,HASTES FLEX COTONETE JONHSON C/75,56012190,4.09
07891700203067,SUCO ADES SOJA UVA 200ML,22029900,4.04875
07891515479541,SALAMITOS SADIA SABO,16010000,2.8718367346938773
07506309889399,AMP HIDROC 3X15ML,21039021,11.034444444444444
07896080920054,FOSFORO PARANA COZINHA CX,36050000,2.75
07891000049105,ALIM INF NEST FRUTAS 120G,20071000,7.197058823529411
07891010504106,ESC DENT J J REACH PROF 40 M L3P2,96032100,28.08
07891515430412,MARGAR DELINE CSAL 3KG,15171000,18.453
07896235353126,YORK ALGODAO BOLA 95G FLUFFY 1X95GR,56012110,91.92999999999999
07891150026506,DETERG PO ALA ROSAFLOR LIZ 1KG,34022000,7.682380952380953
07899706134156,SH ELSEVE DETOX ANTI CASPA 200ML,33051000,11.969999999999999
07896593400272,RACAO FAMILY PLUS CAES 8KG FILHOTE UN,23099010,22.099999999999998
07898148044795,CHIP CLARO SC BOPP O,85235200,10
07891000247624,COOKIE NEGRESCO CHOC GOTAS BAUN 60G,19053100,3.145
07897161390124,ST LIQ ALYNE 2L PETA,34012090,19.49
07891055538418,GEL DENTAL CONDOR LILICA BAB 50 G S/ FLUOR UN,33061000,5.34
07891000259405,BISC RECH PASSATEMPO CHOC 130G,19053100,2.3400000000000003
07891350000078,GEL FIX BOZZANO ACAO PROLONGADA 150,33059000,9.74
07896090404391,DA HYDRATTA 165ML ME,33072010,9.950000000000001
07896498536618,GRAXA SPRAY MOTOLUX,27101932,32.89
07897006310072,VINAGRE VIRROSAS AROMAT ALC ALHO 50,22090000,2.15
07895155232757,COPO PLAST.VERDE MENTA SOLIDO UZ,39241000,3.99
07891127054266,ABRIDOR MULTIUSO GARR/LATAS C/ FURADOR UN,82159910,4.5
07896058505429,GOMA MASCA DORI URSO 100 G FRUTAS UN,17049090,2.9899999999999998
37896369610196,BICARB MARIZA 70G FD24,28363000,18.96
07891025700647,ALIM INFAN SUSTAIN JUNIOR 350 G BAUNILHA UN,21069030,16.46
07896523103266,VELA ANIV JUNCO ESTR,36049090,5.89
07896502835256,COLHER BRINOX C3 AZU,82159910,3.39
07896024730183,MAC ESP PIRAQUE C OVOS 500G,19021100,4.75
07891150059436,COOKIE MAIZENA INTEG,19059020,7.489999999999999
07896074603673,WAFFE FORNO MINAS CONG TRAD 6X35GR,19053200,7.75
03000009696058,PIZZA CALABRESA 450G,19059090,16.222033898305085
01313131300123,BROCOLIS,07041000,23.266666666666666
07896496917044,SNACK ORG INT MAE TE,19053100,3.103818181818182
07891132019403,TEMP SAZON FLOPPY AMAR 60G PT,21039021,3.344666666666667
07896000791597,COL MIKIT CAST AM 5,33059000,11.100000000000001
07891022860597,LIMP.MULTI-USO LIMPOL LIMAO,34022000,2.2632793522267205
00000078924895,DESOD ROLLON REX SPORT 50ML,33072010,6.397692307692308
07898275010441,LIMPA PNEU RODABRILL 500ML 18528,34022000,9.09
07896547908649,ERVILHA PARTIDA CAMPIL 500G,07131090,9.68
07896115700361,SHA INF TRALALA BABY,33051000,6.43
07891150024823,ST REXONA 84G DEO PR,34011190,2.5
07896115701795,CREME DENT INF TRALALA KIDS T FRUTTI 50G,33061000,3.5813043478260873
07897664170742,MAT INSET MULT CINTRONELA 360ML,38089119,7.6899999999999995
07891025104742,MINGAU CER MILNUTRI ARROZAVEIA 230,19011030,3.5684722222222223
07896005021088,BISC C CRACK PILAR INTEGRAL 420GR,19059020,4.9799999999999995
